model,encoding,seed,dedup,data_volume_games,data_volume_rows,data_volume_unique,move_top1,move_top1_ci_lo,move_top1_ci_hi,move_top3,move_macro_f1,value_mse,value_mae,value_acc,value_baseline_acc,train_seconds,infer_seconds_total,infer_ms_per_sample
baseline_majority_class,0,-1,n/a,-1,-1,-1,0.0911574710280576,nan,nan,nan,0.0033416797647793815,nan,nan,nan,0.85551900624344,0.0,0.0,0.0
baseline_uniform_random_legal,0,-1,n/a,-1,-1,-1,0.03539584617635917,nan,nan,nan,nan,nan,nan,nan,0.85551900624344,0.0,0.0,0.0
baseline_side_to_move,0,-1,n/a,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,0.85551900624344,0.85551900624344,0.0,0.0,0.0
logreg,2,42,unique,107969,56798,56798,0.27166538623846265,0.26989252117986384,0.27344468484265316,0.5053236958568229,0.2543570282488406,148.81939697265625,7.060580253601074,0.7198567363147473,0.85551900624344,20.359947643999476,0.43399944699922344,0.002348049855541856
logreg,4,42,unique,107969,56798,56798,0.3825540755488709,0.3799780980990915,0.38510610541407403,0.6317398314162979,0.365180347167177,154.27337646484375,7.242698669433594,0.7859755239836826,0.85551900624344,66.29037242300001,0.253616793999754,0.0013721328002410489
logreg,7,42,unique,107969,56798,56798,0.43809039462436566,0.43555270422774384,0.4405909454057856,0.6993356200699006,0.4144449911550143,156.04383850097656,7.296110153198242,0.8088284622958979,0.85551900624344,130.41593669399845,0.2382515789995523,0.0012890029918713672
logreg,7,42,unique,10000,18649,18649,0.5035491305712152,0.500446430755895,0.5066773536843159,0.741719597043834,0.49521859755521047,149.1403045654297,7.2343549728393555,0.7940314011491393,0.85551900624344,99.78486156200233,0.36362548699980834,0.001967308433512278
rf,7,42,unique,10000,18649,18649,0.8727236330978067,0.870428850887083,0.8751844924365935,0.9424781154982308,0.8818283266108784,133.0486297607422,5.364683628082275,0.9414068840148457,0.85551900624344,3.142295429002843,5.0289592659974005,0.027207977244432306
knn,7,42,unique,10000,18649,18649,0.38350628131187986,0.3807208018216263,0.38645982352998626,0.6664899315061081,0.34125471208380354,103.3118896484375,5.518024921417236,0.9356720083967236,0.85551900624344,0.004797916000825353,24.908628321001743,0.1347621558858313
svm,7,42,unique,10000,18649,18649,0.5560016014369651,0.5524213410841652,0.5597430752791892,0.7923055282036855,0.5313687363840325,152.7691192626953,6.840473175048828,0.8028176634169039,0.85551900624344,16.4599967130016,0.4394443240016699,0.0023775080558862
cnn,7,42,unique,10000,18649,18649,0.5496066740967571,0.5470940344774825,0.5523341436975556,0.8279699622363851,0.550139888284584,124.09132385253906,6.561808109283447,0.7883289870911196,0.85551900624344,23.22570995299975,7.10528223700021,0.03844142439702766
